Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.0995,233.722,269.156,199.615,174.051,148.821
0.1,234.847,253.958,198.639,173.038,147.865
0.1005,229.686,250.0,197.368,171.79,146.711
0.101,224.192,209.13,196.691,171.084,146.085
0.1015,224.369,219.438,196.305,170.687,145.738
0.102,226.102,239.562,195.831,170.202,145.306
0.1025,226.36,225.149,195.588,169.936,145.094
0.103,227.384,225.287,195.463,169.803,145.0
0.1035,228.051,226.713,195.051,169.41,144.683
0.104,227.592,227.372,194.219,168.659,144.042
0.1045,227.594,227.598,193.912,168.397,143.848
0.105,229.121,227.937,193.97,168.487,143.954
0.1055,229.951,228.743,193.874,168.436,143.917
0.106,228.763,228.057,193.276,167.912,143.437
0.1065,229.177,227.428,193.031,167.694,143.225
0.107,227.642,227.814,191.998,166.728,142.338
0.1075,226.851,229.092,191.043,165.819,141.457
0.108,226.192,232.312,189.989,164.801,140.43
0.1085,227.639,231.54,188.908,163.789,139.456
0.109,227.882,226.264,188.499,163.384,139.025
0.1095,218.694,215.091,187.334,162.294,137.951
0.11,217.217,215.474,187.299,162.36,138.027
0.1105,222.65,219.079,186.752,161.874,137.504
0.111,223.539,222.593,186.473,161.65,137.236
0.1115,214.805,220.417,185.682,160.959,136.556
0.112,215.121,215.297,185.39,160.707,136.314
0.1125,217.696,216.983,185.204,160.591,136.223
0.113,219.681,220.031,185.122,160.527,136.147
0.1135,218.088,218.857,184.852,160.285,135.926
0.114,217.095,218.111,184.542,159.994,135.661
0.1145,213.522,216.692,183.923,159.422,135.124
0.115,213.762,215.715,183.386,158.923,134.649
0.1155,214.245,216.275,182.782,158.349,134.09
0.116,215.087,216.88,182.205,157.777,133.519
0.1165,218.072,219.248,181.302,156.924,132.678
0.117,216.136,220.83,180.013,155.684,131.48
0.1175,215.683,217.237,178.631,154.348,130.171
0.118,213.608,215.268,178.12,153.997,129.843
0.1185,216.101,218.174,177.788,153.9,129.744
0.119,217.029,218.802,177.137,153.399,129.257
0.1195,217.169,219.797,176.272,152.762,128.646
0.12,224.47,234.394,176.087,152.792,128.669
0.1205,230.81,242.798,175.618,152.528,128.441
0.121,271.899,323.263,174.191,151.589,127.583
0.1215,404.321,646.425,173.085,151.505,127.617
0.122,168.828,-108.545,175.186,151.17,127.207
0.1225,90.8546,-27.996,185.427,150.144,126.26
0.123,172.157,190.212,166.995,151.702,127.349
0.1235,199.723,212.407,168.848,151.21,127.161
0.124,195.726,202.852,160.359,150.125,126.354
0.1245,189.875,192.998,169.007,149.347,125.507
0.125,193.132,197.42,170.426,148.673,124.85
0.1255,194.311,198.315,170.733,147.789,124.011
0.126,195.409,197.521,170.332,146.676,122.911
0.1265,198.572,202.933,169.704,145.745,122.036
0.127,198.376,201.942,169.394,145.213,121.536
0.1275,197.642,200.394,168.968,144.695,121.055
0.128,196.763,198.752,168.883,144.523,120.882
0.1285,198.059,198.866,168.845,144.446,120.792
0.129,200.712,199.822,168.832,144.396,120.754
0.1295,201.588,200.089,168.57,144.136,120.523
0.13,201.558,200.001,168.365,143.92,120.341
0.1305,200.977,199.549,167.935,143.542,120.006
0.131,201.257,200.244,167.927,143.557,120.001
0.1315,200.673,200.517,167.666,143.338,119.801
0.132,200.706,200.102,167.102,142.824,119.31
0.1325,199.282,199.047,166.658,142.453,118.946
0.133,198.432,197.559,166.101,141.972,118.437
0.1335,197.077,196.275,165.444,141.412,117.868
0.134,195.722,195.492,164.463,140.557,117.018
0.1345,195.141,195.321,163.715,139.876,116.297
0.135,194.489,194.013,162.786,139.044,115.433
0.1355,193.178,193.173,162.355,138.758,115.144
0.136,192.106,191.83,161.82,138.301,114.649
0.1365,190.772,190.863,160.911,137.479,113.8
0.137,192.754,194.8,161.573,138.228,114.527
0.1375,193.361,195.274,159.592,136.318,112.57
0.138,196.741,195.461,161.36,138.19,114.444
